"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Dalton Schultz","HOU","TE19","0.0","0.0","0.0","65.8","629.8","3.4","0.2","115.7"
"Rashod Bateman","BAL","WR62","0.0","0.0","0.0","38.4","594.5","6.0","0.2","114.2"
"Alvin Kamara","NO","RB42","127.9","491.9","2.8","35.1","242.8","1.3","0.8","113.8"
"Tyjae Spears","TEN","RB43","92.1","368.0","2.9","45.9","305.2","1.2","0.7","113.4"
"Jayden Higgins","HOU","WR63","0.0","0.0","0.0","49.3","608.3","4.7","0.2","113.3"
"Zach Charbonnet","SEA","RB44","130.5","532.7","5.6","19.8","147.0","0.5","0.7","113.1"
"Woody Marks","HOU","RB45","142.6","555.4","2.7","24.0","197.7","1.8","0.8","112.3"
"Jalen McMillan","TB","WR64","4.7","26.8","0.1","46.7","606.1","3.9","0.2","110.5"
"Jauan Jennings","MIN","WR65","0.0","0.0","0.0","48.7","557.1","5.2","0.7","109.6"
"T.J. Hockenson","MIN","TE20","0.0","0.0","0.0","63.9","574.1","3.3","0.2","108.7"
"Jalen Nailor","LV","WR66","2.0","8.5","0.0","43.6","589.9","4.5","0.2","108.5"
"Pat Freiermuth","PIT","TE21","0.0","0.0","0.0","53.0","558.0","4.3","0.2","107.4"
"Tyrone Tracy Jr.","NYG","RB46","122.8","521.5","2.5","26.3","203.3","1.2","0.8","106.4"
"Greg Dulcich","MIA","TE22","0.0","0.0","0.0","54.6","619.7","3.2","1.2","106.2"
"Isiah Pacheco","DET","RB47","139.2","581.4","3.5","21.1","136.2","0.6","0.8","105.4"
"Kenyon Sadiq","NYJ","TE23","0.0","0.0","0.0","51.1","558.1","4.1","0.7","104.5"
"De'Zhaun Stribling","SF","WR67","1.5","6.5","0.0","43.7","618.9","3.5","0.7","104.2"
"Adonai Mitchell","NYJ","WR68","2.2","11.2","0.1","41.5","610.8","3.5","0.5","103.8"
"Antonio Williams","WAS","WR69","3.5","18.7","0.1","44.2","598.5","3.6","1.2","103.5"
"Denzel Boston","CLE","WR70","1.0","5.0","0.0","48.8","611.6","2.9","0.8","101.8"
"Cade Otton","TB","TE24","0.0","0.0","0.0","54.9","556.9","3.1","0.1","101.5"
"Cooper Kupp","SEA","WR71","0.5","1.5","0.0","47.4","583.9","3.4","0.7","101.4"
"AJ Barner","SEA","TE25","0.0","0.0","0.0","48.6","469.6","4.9","0.2","100.1"
"Chig Okonkwo","WAS","TE26","0.0","0.0","0.0","53.8","566.1","2.7","0.1","99.6"
"Justice Hill","BAL","RB48","56.4","273.6","2.2","34.7","303.1","1.8","0.2","98.7"
"Omar Cooper Jr.","NYJ","WR72","2.1","12.5","0.1","46.3","550.4","3.3","1.2","97.3"
"Oronde Gadsden II","LAC","TE27","0.0","0.0","0.0","44.2","550.2","3.5","0.7","96.7"
"Germie Bernard","PIT","WR73","2.1","10.8","0.0","44.6","550.8","3.1","0.8","95.8"
"Terrance Ferguson","LAR","TE28","0.0","0.0","0.0","36.3","500.4","4.5","0.2","94.7"
"Chris Rodriguez Jr.","JAC","RB49","133.8","553.1","5.1","5.4","42.5","0.1","0.6","92.1"
"Mike Gesicki","CIN","TE29","0.0","0.0","0.0","44.0","461.2","3.9","0.1","91.1"
"Travis Hunter","JAC","WR74","2.0","10.8","0.1","41.6","496.2","3.3","0.4","90.8"
"Xavier Legette","CAR","WR75","2.1","10.8","0.1","41.7","500.5","3.2","0.4","90.8"
"Evan Engram","DEN","TE30","0.0","0.0","0.0","53.4","471.8","2.7","0.1","90.0"
"Dylan Sampson","CLE","RB50","73.5","254.2","1.3","35.9","284.5","2.1","1.2","89.9"
"Brian Robinson Jr.","ATL","RB51","129.3","564.6","4.3","6.9","43.0","0.1","0.7","89.6"
"Kayshon Boutte","NE","WR76","0.0","0.0","0.0","32.0","486.2","4.2","0.1","89.5"
"Darnell Mooney","NYG","WR77","1.1","6.0","0.0","35.9","526.0","2.7","0.1","87.4"
"Samaje Perine","CIN","RB52","98.9","443.5","3.7","17.9","135.2","0.4","1.9","87.3"
"Bub Means","NO","WR78","1.0","6.0","0.0","38.0","516.0","3.0","1.0","87.2"
"Tyler Allgeier","ARI","RB53","111.7","428.1","4.2","17.1","108.4","0.2","0.6","87.1"
"Gunnar Helm","TEN","TE31","0.0","0.0","0.0","48.9","443.1","3.1","0.2","87.0"
"AJ Dillon","CAR","RB54","123.0","509.0","3.0","16.0","136.0","1.0","5.0","86.5"
"Jordan James","SF","RB55","102.3","416.6","3.2","16.1","148.2","0.7","1.2","85.3"
"Malik Washington","MIA","WR79","13.4","80.2","0.7","43.5","390.0","2.3","0.8","85.2"
"Ty Johnson","BUF","RB56","51.6","218.7","2.0","24.9","250.7","2.1","0.2","83.8"
"Darius Slayton","NYG","WR80","1.6","8.6","0.0","34.8","512.7","2.5","0.7","83.2"
"Ja'Kobi Lane","BAL","WR81","1.5","8.5","0.0","30.4","459.2","3.4","0.6","81.3"
"Tyquan Thornton","KC","WR82","0.0","0.0","0.0","25.4","465.8","3.5","0.1","79.9"
"Braelon Allen","NYJ","RB57","97.3","391.3","4.0","12.9","93.8","0.7","1.7","79.5"
"Zachariah Branch","ATL","WR83","0.0","0.0","0.0","38.3","471.3","2.3","0.4","79.4"
"Tory Horton","SEA","WR84","0.5","3.0","0.0","30.3","401.0","4.2","0.6","79.3"
"Troy Franklin","DEN","WR85","3.0","10.8","0.0","36.5","395.9","3.4","0.6","78.3"
"Christian Kirk","SF","WR86","0.0","0.0","0.0","36.4","430.4","2.7","0.1","77.5"
"Devaughn Vele","NO","WR87","0.0","0.0","0.0","35.1","422.8","2.8","0.1","76.7"
"Mason Taylor","NYJ","TE32","0.0","0.0","0.0","44.5","390.9","2.4","0.1","75.4"
"Colby Parkinson","LAR","TE33","0.0","0.0","0.0","34.3","354.4","3.9","0.6","74.7"
"Emari Demercado","KC","RB58","76.8","425.9","1.7","16.3","119.0","0.8","1.7","74.3"
"Hollywood Brown","PHI","WR88","0.0","0.0","0.0","31.3","389.6","3.3","0.1","74.0"
"Andrei Iosivas","CIN","WR89","2.5","11.1","0.0","31.1","393.7","2.9","0.1","73.5"
"David Njoku","LAC","TE34","0.0","0.0","0.0","34.7","324.2","3.9","0.1","73.1"
"Ryan Flournoy","DAL","WR90","2.2","12.4","0.1","34.0","383.8","2.7","0.4","72.4"
"Isaac TeSlaa","DET","WR91","0.0","0.0","0.0","25.4","351.9","4.1","0.1","72.3"
"Tre' Harris","LAC","WR92","0.0","0.0","0.0","34.5","408.4","2.5","0.4","72.2"
"Jalen Tolbert","MIA","WR93","0.0","0.0","0.0","35.4","441.7","1.8","0.3","71.8"
"Kaelon Black","SF","RB59","98.1","387.6","3.2","8.6","79.3","0.6","1.1","71.3"
"Chris Bell","MIA","WR94","0.0","0.0","0.0","34.2","448.9","1.7","0.4","71.3"
"Caleb Douglas","MIA","WR95","1.0","5.5","0.0","33.1","418.9","2.3","0.7","71.2"
"Mike Washington Jr.","LV","RB60","92.8","352.5","2.1","15.2","121.4","0.6","0.7","70.1"
"Michael Mayer","LV","TE35","0.0","0.0","0.0","40.0","377.4","2.1","0.1","70.1"
"Dyami Brown","WAS","WR96","0.0","0.0","0.0","29.6","392.1","2.7","0.3","69.4"
"Ted Hurst III","TB","WR97","1.0","6.5","0.0","28.9","389.5","2.6","0.6","68.2"
"Treylon Burks","WAS","WR98","0.0","0.0","0.0","28.3","393.6","2.3","0.2","66.8"
"Ashton Dulin","IND","WR99","5.1","46.2","0.1","24.1","399.9","1.6","0.1","66.4"
"Tank Bigsby","PHI","RB61","85.6","419.6","3.2","3.3","29.3","0.1","0.2","65.7"
"Dontayvion Wicks","PHI","WR100","0.5","3.0","0.0","31.1","355.0","2.4","0.1","65.5"
"Jack Bech","LV","WR101","0.0","0.0","0.0","34.5","397.8","1.5","0.4","65.2"
"Keaton Mitchell","LAC","RB62","85.2","395.4","1.9","11.5","82.8","0.2","0.7","65.0"
"Dawson Knox","BUF","TE36","0.0","0.0","0.0","28.7","328.7","2.9","0.1","64.6"
"Elic Ayomanor","TEN","WR102","0.0","0.0","0.0","23.9","323.0","3.2","0.0","63.4"
"Malik Davis","DAL","RB63","79.6","373.1","2.7","6.6","52.3","0.1","0.1","62.4"
"Theo Johnson","NYG","TE37","0.0","0.0","0.0","27.6","314.7","2.9","0.1","62.4"
"Chimere Dike","TEN","WR103","10.1","33.6","0.3","26.1","252.9","3.3","0.6","61.8"
"Jahan Dotson","ATL","WR104","0.0","0.0","0.0","28.7","358.2","1.9","0.2","60.9"
"Adam Randall","BAL","RB64","55.1","281.6","2.0","10.3","103.4","1.1","0.6","60.9"
"Jaylin Noel","HOU","WR105","4.2","22.2","0.1","28.8","322.6","1.8","0.3","59.8"
"Chris Brooks","GB","RB65","72.7","323.3","1.3","15.4","107.5","0.3","0.6","59.2"
"Darnell Washington","PIT","TE38","0.0","0.0","0.0","30.7","327.7","2.0","0.6","58.6"
"Pat Bryant","DEN","WR106","0.0","0.0","0.0","28.4","319.6","2.1","0.3","58.3"
"Tyler Higbee","LAR","TE39","0.0","0.0","0.0","26.1","306.5","2.4","0.0","58.1"
"Savion Williams","GB","WR107","9.0","47.0","0.3","23.9","271.5","2.0","0.3","57.0"
"Joshua Palmer","BUF","WR108","0.0","0.0","0.0","25.9","337.2","1.6","0.1","56.3"
"Kimani Vidal","LAC","RB66","62.2","251.0","1.6","11.9","104.3","0.7","0.1","55.1"
"Marvin Mims Jr.","DEN","WR109","8.2","45.1","0.3","24.2","272.4","1.6","0.4","54.7"
"Luke McCaffrey","WAS","WR110","0.0","0.0","0.0","20.7","289.4","2.6","0.1","54.6"
"KaVontae Turpin","DAL","WR111","17.7","102.5","0.4","18.2","229.9","1.7","0.4","54.5"
"Olamide Zaccheaus","ATL","WR112","1.5","9.5","0.0","30.1","277.1","1.8","0.1","54.5"
"Cole Kmet","CHI","TE40","0.0","0.0","0.0","25.9","271.4","2.2","0.1","53.3"
"Ja'Tavion Sanders","CAR","TE41","0.0","0.0","0.0","29.4","264.6","2.0","0.1","53.1"
"James Conner","ARI","RB67","42.5","155.0","1.5","18.0","131.0","1.0","0.0","52.6"
"Xavier Hutchinson","HOU","WR113","2.1","14.2","0.0","23.2","281.0","1.9","0.1","52.4"
"Noah Fant","NO","TE42","0.0","0.0","0.0","30.4","285.0","1.7","1.6","50.5"
"Tommy Tremble","CAR","TE43","0.0","0.0","0.0","26.6","253.7","2.0","0.1","50.3"
"Calvin Austin III","NYG","WR114","0.0","0.0","0.0","20.0","268.2","2.2","0.0","50.1"
"DeMario Douglas","NE","WR115","4.1","21.4","0.2","22.7","271.1","1.5","0.3","49.9"
"Elijah Sarratt","BAL","WR116","0.0","0.0","0.0","19.5","294.6","1.8","0.2","49.4"
"Keon Coleman","BUF","WR117","0.0","0.0","0.0","19.4","266.0","2.3","0.2","49.4"
"Jaylin Lane","WAS","WR118","0.0","0.0","0.0","22.7","279.2","1.8","0.2","49.4"
"Nick Westbrook-Ikhine","IND","WR119","0.0","0.0","0.0","21.7","269.6","2.0","0.2","49.3"
"Will Kacmarek","MIA","TE44","0.0","0.0","0.0","26.6","250.8","1.9","0.6","48.5"
"Jahdae Walker","CHI","WR120","0.5","3.5","0.0","17.1","225.8","2.7","0.0","47.4"
"Emanuel Wilson","SEA","RB68","69.7","289.5","1.7","7.7","52.1","0.0","0.5","47.3"
"Jaylen Wright","MIA","RB69","79.9","308.0","1.5","7.2","52.5","0.1","1.2","47.0"
"Erick All Jr.","CIN","TE45","0.0","0.0","0.0","26.1","228.4","1.6","0.1","45.5"
"Cedric Tillman","CLE","WR121","0.0","-0.5","0.0","18.5","235.1","2.1","0.0","45.3"
"Charlie Kolar","LAC","TE46","0.0","0.0","0.0","20.2","230.0","2.0","0.1","45.3"
"Jawhar Jordan","HOU","RB70","51.3","218.5","1.1","11.0","87.0","0.5","0.5","44.8"
"Austin Hooper","ATL","TE47","0.0","0.0","0.0","22.5","236.7","1.6","0.1","44.4"
"Demarcus Robinson","SF","WR122","0.5","2.5","0.0","17.7","252.2","1.7","0.0","44.2"
"Tutu Atwell","MIA","WR123","2.2","11.3","0.1","20.4","291.7","0.5","0.2","43.2"
"Kyle Juszczyk","SF","RB71","4.2","10.3","0.1","23.8","209.2","1.5","0.1","43.1"
"Josh Oliver","MIN","TE48","0.0","0.0","0.0","18.6","193.9","2.4","0.1","42.8"
"Eli Stowers","PHI","TE49","0.0","0.0","0.0","22.7","232.5","1.5","0.6","42.5"
"Daniel Bellinger","TEN","TE50","0.0","0.0","0.0","19.3","222.3","1.7","0.0","42.3"
"Jaydon Blue","DAL","RB72","48.7","205.0","1.5","8.8","61.8","0.4","0.2","42.1"
"Kevin Coleman Jr.","MIA","WR124","0.0","0.0","0.0","21.1","270.5","0.7","0.2","41.2"
"Brock Wright","DET","TE51","0.0","0.0","0.0","19.4","175.2","2.3","0.0","41.0"
"Noah Gray","KC","TE52","0.0","0.0","0.0","21.0","211.2","1.5","0.1","40.3"
"MarShawn Lloyd","GB","RB73","50.6","211.7","1.6","6.5","48.5","0.3","0.2","39.9"
"Luke Musgrave","GB","TE53","0.0","0.0","0.0","21.7","211.6","1.2","0.0","39.0"
"Kendrick Bourne","ARI","WR125","0.0","0.0","0.0","22.8","239.4","0.7","0.2","38.9"
"Elijah Arroyo","SEA","TE54","0.0","0.0","0.0","19.0","198.7","1.6","0.1","38.7"
"Isaiah Davis","NYJ","RB74","35.1","174.6","1.2","9.9","78.2","0.2","0.1","38.3"
"Adam Trautman","DEN","TE55","0.0","0.0","0.0","19.4","194.0","1.5","0.0","37.9"
"Eli Raridon","NE","TE56","0.0","0.0","0.0","18.8","195.8","1.5","0.6","37.1"
"George Holani","SEA","RB75","38.9","164.2","1.5","8.0","62.2","0.3","0.2","37.1"
"Kalif Raymond","CHI","WR126","4.6","27.2","0.2","19.2","187.0","0.9","0.2","36.9"
"Cyrus Allen","KC","WR127","0.0","0.0","0.0","16.2","202.8","1.3","0.2","35.6"
"Davis Allen","LAR","TE57","0.0","0.0","0.0","16.9","157.3","1.9","0.0","35.4"
"Ben Sims","MIA","TE58","0.0","0.0","0.0","19.5","184.7","1.2","0.0","35.2"
"Skyler Bell","BUF","WR128","0.0","0.0","0.0","15.1","205.5","1.2","0.2","35.0"
"LeQuint Allen Jr.","JAC","RB76","8.0","33.9","0.2","21.7","148.0","0.8","0.1","34.9"
"Marlin Klein","HOU","TE59","0.0","0.0","0.0","19.5","193.6","1.1","0.5","34.7"
"John Bates","WAS","TE60","0.0","0.0","0.0","18.4","173.3","1.5","0.6","34.6"
"Elijah Higgins","ARI","TE61","0.0","0.0","0.0","22.0","196.1","0.8","0.6","34.5"
"Bryce Lance","NO","WR129","0.0","0.0","0.0","16.4","204.4","0.9","0.2","33.9"
"Jordan Whittington","LAR","WR130","2.3","12.1","0.1","15.0","171.9","1.2","0.2","33.6"
"Frank Gore Jr.","BUF","RB77","37.0","174.0","2.0","3.0","26.0","0.0","0.0","33.5"
"Jake Tonges","SF","TE62","0.0","0.0","0.0","16.8","167.6","1.4","0.0","33.2"
"Roschon Johnson","CHI","RB78","33.0","115.0","3.0","3.0","17.0","0.0","0.0","32.7"
"Ollie Gordon II","MIA","RB79","49.4","202.8","1.2","3.9","27.8","0.1","0.2","32.7"
