"Player","Team","REC","YDS","TDS","FL","FPTS"
"CJ Dippre","NE","3.9","37.3","0.3","0.0","7.2"
"Tyler Conklin","DET","3.7","38.0","0.3","0.0","7.1"
"Oscar Delp","NO","3.9","36.5","0.2","0.0","7.0"
"Josh Cuevas","BAL","3.3","35.8","0.3","0.0","7.0"
"Eric Saubert","SEA","3.4","34.4","0.3","0.0","6.9"
"Drew Ogletree","IND","3.7","35.4","0.3","0.0","6.9"
"Sam Roush","CHI","3.7","33.8","0.3","0.0","6.8"
"Tip Reiman","ARI","3.8","34.5","0.2","0.0","6.5"
"Johnny Mundt","PHI","3.5","35.4","0.2","0.0","6.5"
"Chris Manhertz","NYG","1.8","16.3","0.1","0.0","3.2"
"Quintin Morris","JAC","0.0","0.0","0.0","0.0","0.0"
"Jelani Woods","NYJ","0.0","0.0","0.0","0.0","0.0"
"Blake Whiteheart","CLE","0.0","0.0","0.0","0.0","0.0"
"Julian Hill","NE","0.0","0.0","0.0","0.0","0.0"
""
""
